ko,en
에그 드랍,EGG DROP
딘앤델루카,DEAN&DELUCA
브와씨에,BOISSIERE
카페류,Cafe-Ryu
라운지일레븐,LOUNGE11
간장,ganjang
101자곡,101 JAGOK
카페쉼,cafe쉼
쟝,JEAN
더코스트엠,The cost M
턴온,Turn On
윙앤딥,WING&DIP
마틴쯔워츠,Martin Zwerts
타이타임,ThaiTime
씨엔디커피,cnd coffee
라이프푸드,life food
더누들바,The Noodle Bar
디쉬버리,Dishvery
피엔에이푸드,P&A FOOD
우림,urim
킨더프레스,KINDER PRESS)(성수점
허슬러,Hustler
오티알티 커피,OTRT COFFEE
셰플리,CHEFLY
셰플리,CHEFLY
문,moon
선드라이커피,Sundry Coffee
"이,쟁이","Yi,쟁이"
피자헤븐 인 눈치떡,DMC가좌점
"스테이 슬로우, 커피","STAY SLOW, COFFEE"
달의 작업실,Lalune
비비큐,BBQ
컨셉푸드 ,CONCEPT FOOD
올소 커피,also coffee
미스터,mr
티에이치피,T.H.P.
드시오,De'cio
권테이블,K.one table
팀엠케이,Team MK
플루프 커피,plouf coffee
제이 바,J Bar
아크오브브라더스,ARKOFBROTHERS
올더밥,ALL THE BAP
카페052,Cafe 052
허니 위스키,Honey Whiskey
카페원두,cafe one du
아티스카페몰로,ARTIScafemollo
포즈,POSE
플라잉키친,Flying Kitchen
2헤르츠,2Hz
모멘토,Momento
와인투고,wine to go
커피30,coffee30
켈리 더 쿡,"Kelly, the cook"
원바이트피자클럽,OBPC
크림크럼,Kream Crum
펀치드렁크,Punch drunk
비비큐,BBQ
까페리기,CAFERIGI
씨엘씨,CLC
블렌드이지,BLENDEASY
테이스티나인키친,Tasty9 Kitchen
브레드팜,Bread Farm
번티,BEONTY
랩 베이커리 카페,LAB bakery cafe
포 얼로이,pho Alloy
비건즈,Beganz
포러브,PHO LOVE
하이롱,HAI-LONG
오마이슈,oh my choux
네츄럴 시즈닝,natural seasoning
더 친절 회,The. 친절 회
비비큐,BBQ
배명,BB
타이거누들,Tiger noodle
비비큐,BBQ
와이투케이,Y2K
엠제이,MJ
틸인박스,TIL in box
타운카페,Town cafe
빅,B.I.G
카페벨로,Cafe Bello
야미,yummy
리오,1340
호프소주방,3176
일오삼식당,153식당
엘바,LBAR
비에이치씨,B.H.C
영철스트리트,street
삼구치킨,39치킨
장수분식,3423
코지더힐,COZY the hill
빅,Big
옵션,OPTION
이,e
아넬로,Anello
발리바,balibar
에스테라스,S-Terrace
미스터킴,Mr킴
엠케이,M.K
잇푸드,it Food
워커힐벚꽃축제,Spring Avenue
케이투,K2
비어펍,Beer Pub
올,all
아우어데일리오렌지,OurDailyOrange
보일드브로커리,BOILED BROCCOLI
주,ZOO
플랫폼61옐로우테이블,PLATFORM61 YELLOW TABLE
더밸리,The Valley
노크,KNOCK
녹스,NOX
더록,THE ROCK
베스트,Best
푸드2900,2
정글,Jungle
쭈꾸미샾,Shop
엘로우,3516
큐,Q
아이엔지,ING
위치스,Witch's
비에치시,B.H.C
,
스위티,3333
오골계펍,O.Goal.계 PUB
우드스탁,WooD stock
술취한오후,4231
엔,N
카페안,CAFE  안
어반나이프,URBAN KNIFE
모닝,morning
코지코티지,cozy cottage
캣츠타운,"CAT,S"
마레,MARE
에스빠,S.BAR
하이파이브,Hi-five
를리지외즈,religieuse
워커힐벚꽃축제 산21,Spring Avenue & 21
멘보사,MENBOSIA
하이티어,HITEER
기네스바,Bar
퍼플,Purple
비에이치씨,BHC
파라다이스,paradis3
비스테이크,Bisteak
매드마르스,MADMARS
파랑,BLUE
일일일,111
와인커넥션코리아홍대점,Wine Connection Korea Hong Dae
스튜디오 더블유더블유더블유,STUDIO WWW
온앤오프,5NN5FF
노마딕,nomadic
목바,MOKVA
세븐 바이츠,Seven bites
더메리어,The merrier
바오,BAO
와인낫,wine not
자바인,java in
그리너리테이블,Greenery Table
모헤닉스테이304,s
바서울,Bar Seoul
제이제이푸드,JJ Food
일삼일삼 컴퍼니,1313 COMPANY
카페마리,KAFE MARI
바이투헤븐,BITE 2 HEAVEN
팁시,Tipsi
이마트24강남오픈로드,OPEN ROAD
쿠시 커피,KUSI Coffee
랩,LAB
베이커5,BAKER5
카페더케익,Cafe The Cake
쉐프 파스타,chef pasta
아고라,AGORA
로렌바,LAUREN Bar
엘비어,ELBEER
에스프레저,Espleasure
투리,Tury
타프,TAF
맥쓰,MEXX
톡시,TOXIC
알파르코,ALPARCO
원앤온리,ONE AND ONLY
슬로피 버거,SLOPPIE BURGER
루살,Luz Sal
베뉴연남,venue yeonnam
블러썸,BLOSSOM
바로바로,BaroBaro
에이치엠지,HMG
오야지,OYAJI
더홀덤 라운지포차,The Holdem LOUNGE POCHA
지인,Z-in
피시스 오브 서울,pieces of seoul
왓 어바웃,What about
홀리옥,holiok
포이안,Phoian
대한민국 맥주산업박람회,KIBEX
파삐쓰 타코,Papis Taco
문스 키친,Moon's KITCHEN
우연,WOO yeon
디센트,DECENT
더,THE
쿄,Kyo
래빗벙커,Rabbit bunker
쿡,KUK
카이센,kaisen
아뜰리에 비앤엠,ATELIER B&M
모어,MORE
어스,US
씨즈더데이,See's the day
주)옷살,OTSAL
지카페,G CAFE
비에스,BS
차이나박스,box
마셥! 양조,mashup! brewing
킹덤,HD KINGDOM
썹,SUP
나우히얼,nowHere
하이꼬꼬,Hi꼬꼬
블랑드,BLANC DE
라온,LAON
앂아로마 ,sip aroma
45쿠오코,45CUOCO
위메이드잇,Baebong
화이트 크로우 브루잉 컴퍼니,White Crow Brewing Company
스페이스딤,SPACE DIM
숯,SOOT
라 라자뇨리,La lasagnerie
셰플리,CHEFLY
어위크,Aweek
페페,FEFE
오보이피자,OHBoy Pizza
더,The
제이에이치와이치킨,JHY CHICKEN
갱커피,GANG COFFEE
저스트,Just
꼬로,Coro
엘리바,Alley Bar
왈츠,Waltz
행인데어,HANG IN THERE
비오비의건강한밥상,BOB의건강한밥상
제임스푸드,JAMES FOOD
커피 알파카,COFFEE ALPACA
란,LAN
포션쌀국수,Phosean
가비노,gabino
73쇼디치,73shoreditch
제이제이크로플,JJcroiffle
고져스 블륨,gorgeous bloom
칠린에그,Chillin EGG
,
테이스티나인,Testy9 x 해창
브룸,BROOME
비비큐,BBQ
클래시,Classy
코너하우스,Corner House
단디푸딜리,DanDi Foodeli
테이스티나인 키친,Tasty9 kitchen
온마이웨이,On My Way
그릭 클라우드,greek cloud
비비큐,BBQ
제이에스푸드,JS푸드
넘브,numb
테이스티,Tasty
리레이즈,ReRaise
씨제이푸드월드,CJ FOODWORLD)코엑스몰점(한시적
아일,aisle
데세오,DESEO
그린,GRIN
비비큐,BBQ
카페비,cafebee
카페인,CAFE_IN
퍼105,pho105
테이스티나인,Testy9 x 해창
테이스티나인 델리익스프레스,Tasty9 Deli Express
더,THE
카페 디코스모,D'cosmo
도쿄마트,Tokyo mart
더블유앤제이바,W.J bar
엉클인더키친,uncle in the kitchen
노노스탄테,nonostante
까시디도노,Casa di Dono
쿰,KUM
글로어,gloer
앤드업,And-up
블리스인씨암,Bliss in Siam
커피어라운드,Coffee Around
벙크,Bunk
센스이츠,SENSS eats
대한민국 맥주산업박람회,KIBEX
윈터 스프링,winter spring
꽁상뜨레,concentre
비유어거트,Be YourGURT
미트업,Meatup
뮤즈,MUSE club
제로햄,Zero Ham
백삼십육길 육미,136길 六味)(한시적
피스인더커피,PEACE IN THE COFFEE
세일,sail
오키키,CAFE OKK
몬안,mon an
갤러리 인디고,gallery indigo
원 샌드위치,won's sandwich
다이어트키친,DIET KITCHEN
카페 해피베어데이,CAFE HAPPY BEAR DAY
카페 해피베어데이,CAFE HAPPY BEAR DAY
제이더블유푸드,JW푸드
스타테리아,STARTERIA
김원,KIM ONE
꾹,ggook
오우,oow
화,burning milk tea&bar
제이에이치 푸드,JH FOOD
쉬르,Sur
프롬헤라스 하우스,FromHeras Haus
오늘,Today
부카디제비,buca di jebi
유아이,Ui
그린 고메,Green Gourmet
카페리짙,CAFE Legit
칸티코,Cantico
블리스저니,Bliss Journey
아웃트로,outro
카페메로,CAFE MERO
레스토랑 지,Restaurant G
한수아 샵앤카페,HANSUA shop&cafe
아울키친,owl kitchen
드럼,Drum
에스제이에프앤디,SJFND
에스,S
피자 에 비르라,pizza e birra
문나이트,MOON NIGHT
카페 브라이튼,cafe Brighten
분더버거,BOON THE BURGER
애플 크리스피,APPLE CRISP
엑스호바 2,X HO BAR 2
엑스호바 1,X HO BAR 1
엑스호바 3,X HO BAR 3
핫걸스,Hot Girls
나비나 ,NABINA
띵크커피코리아,Think coffee korea
이코이,IKOI
에디스 비,eddys B
버닝플래닛,Burning Planet
플러피,Fluffy
피켓,PICQUET
명품에프앤비,F&B
케이엠에스,KMS
카페 피 푸드,cafe p food
더플러터,The.flutter
비욘드커피,Beyond coffee
젠틀몬스터,Gentle monster
온더,ON THE
퍼플,purple
프룻토피아,Fruitopia
에스엔에스바,SNS바
더,the
딸라오,5$딸라
베러베러,"Better,Better"
살루드,Salud
미르 오션,Mir ocean
수펍피자,Superb pizza
미드나잇몰트펍,Midnight malt pub
브루 선릉아크로텔,vrew
오일링,oiling
로시니,rossini
로시니,rossini
오물오물,omul omul
히세드댓,he said that
케이제이푸드,KJ
비 마이 게스트,be my guest
서울 메이드 스페이스,SEOUL MADE SPACE
토리시오,Torishio
홈리,Home Ly
스토랑트,STORANT
립앤립스,RIB&RIBS
스테이션B ,STATION.B
케밥 파샤,Kebab Pasha
유목,UMOK
커피다,COFFEEDA
요리주점 영점오,0.5
야미헬씨 ,Yummy Healty
무라사키,Murasaki
와프,WAFF
제이브이엘,JVL
펍읻따,Pub itta
가건푸드,Family Care Restaurant
터치커피,touch coffee
더 키친스,THE KITCHENS
웨이크앤베이크,WAKE & BAKE
록데일 리파우스,Rocdale Rib house
피자이츠,PIZZA EAT'S
더즌,DOZEN
더블유더블유더블유,WWW
오아즈,OAZ
앤그릴,Ann Grill
"여기,커피앤와인",coffee&wine
체크,Check
아카시아,ACACIA
셰이드,Shade
커밍,Coming
제이와이푸드,JY푸드
판치야,panchiya
에이치비쿡,HBCooK
팬케이크샵커피,PANCAKESHOP coffee
오드리,AUDREY
이가게,E STORE
레꽁디멍,Les condiments
비히클,VEHICLE
판치야,panchiya
와이이술이야,Ye
콜라보,collabo
프리셔스,Freecious
킴스브런치하우스,Kim's brunch house
위드플레이스,with PLACE
프랍,prop
보문745,Bomun745
레드락코리아,Red Rock kor
카페 그리너리티,cafe greenerity
그린버킷,GREEN BUCKET
마하,Maja
똠82 ,Tom82
에 세테라,et cetera
홀렌,Hollen
제이엔엠키친,J&M Kitchen
둘시네아 ,Dulcinea
라일린,Rylynn
밀크,milk
골드브라운,GOLD BROWN
가건푸드,Family Care Restaurant
모멘토 키친,MOMENTO KITCHEN
판다,PANDA
아뜰리에101,atelier101
체크,Check
리스토란테 에오,Ristorante eo
카페아일리시,cafe Eilish
스몰웍스 커피 로스터스 ,Smallworks Coffee Roasters
에스제이푸드,SJFOOD
가이즈 키친,Guys kitchen
카바랩,Cavalab
리스토란테 꼬또,Ristorante cotto
비비큐,BBQ
패딩턴,Paddington
미세스 말다,Mrs.malda
볼썸,Bowlsum
웨이아웃,Way out
아워샐럽,Our Salluv
서울라이트,SEOULITE
더백푸드트럭,the100foodtruck
과카몰레,guacamole
제이에이치와이푸드,JHY FOOD
더샤퀴테리아,The charcuteria
베지떠블,VEGI-DOUBLE
알제이에프앤디,RJ F&D
체크,check
불라오케밥,Bullao Kebab
롱브르378,lombre378
제네랄드링크샵,GENERALDRINK SHOP
그릭샐러드,Greek Salad
씨즈더데이,See's the day
로드31커피,Road 31 Coffee
갓,GOD
조브로,BRO
커리스위밍클럽,curryswimmingclub
어베인,Urbane
리치 리치,RICh RICh
아웃도어그릴,OUTDOOR GRILL
싱글몰트 위스키,single malt whisky
비알에스,BRS
비저비,Visavis
비스크,BISQUE
그린테이블,GREEN TABLE
브라운 라이스,brown rice
싸바,ssaba
포차센타쌍,2호점
포차센타 쌍,1호점
엘투유,L.2.U
이,e
커피스테이션카페107,COFFEE STATION CAFE107
아즈,A.Z
사우스에그,South Egg
엘레나키친,ELENA KITCHEN
파이브테이블즈,five tables
오픈암스,open arms
카페블레스,Cafe Bless
더-맛,The-맛
롤링크로,Rolling Cro
히페르,hyper
아이.엔.지,Ing
오누이,onuE
쁘띠오까,PETIT-OKA
십이번지,12번지
에이테이블,ATable
컨토이너,contoyner
브로스테이블,BROS TABLE
호기,Cafe HOGI
버디,Birdie
아파트먼트,APARTMENT
엑스오,XO
올드엔뉴,Old&New
젠틀서퍼,Gentle Surfer
필소굿,Feel so good
조아,ZOA
잔,ZAN
루시,lucy
오,5
골든바나나,Golden Banana
엠 라이브 바,M Live bar
디엠제트,DMZ
키다모,KIDAMO
디노,DINO
카페,CAFE
소라,SOLA
암사점,BHC
엠엔에스,M&S
호,HO
페리도트,Peridot
월스트리트,wall street
비트,bit
알-바,R-Bar
푸드,FOOD
블루노트,BLUE NOTE
플레임,FRAME
파스티노,Pastino
안,AN
에스테라스,S-Terrace
은빛비,silver rain
에스테라스,S-Terrace
엘리후,ELLIHU
메리골드,Marigold
비상구,EXIT
더플레이,THE PLAY
카페 꽁뜨 ,cafe conte
원스,ONCE
쿠퍼,COOPER
푸키,PUKI
포102,PHO102
타우러스,Taurus
오엔오 카페,ONO Cafe
에스테라스,S-Terrace
리델와인 부띠끄,Riedel Wine Boutique
커피크레마,coffee crema
비행기바,Bar
카페헬로스,Cafe Hellos
바반,BARVAN
클럽라운지,Club Lounge
오도앤이십이도,5도&22도
미니차이나,minichina
비에이치씨,BHC
커피빈 우,COFFEE BEAN 友
오케,O.K
비에이치씨,B.H.C
라스타에스케이8,SK8
포마이머니,For my Money
티지아이에프,TGIF
카페폭,cafe POC
주)캘리스코 타코벨,Tacobell
비비큐,BBQ
엠비씨,MBC
코코,coco
젠틀밥,Gentle bob
유고아이고,You go I go
비스트로 에스,BISTRO S
오비펍,OB PUB
에이치 갤러리 카페,H gallery cafe
비에이치씨,BHC
루트팔이,Route82
홀리몰리,HOLY MOLY
모즈,MOZU
무아펑츄어,muah punctual
테이블원,Table.1
라테이블,Latable
플레이볼,Play Ball
더티핑크,DIRTY PINK
비엔나커피하우스,DDMC
더블유테이스티박스,W Tasty Box
플레이,play
웨어하우스,ware house
베이커스트릿,Baker Street
핫,HOT
웍스나인익스프레스,woks9 express
패스트86,fast86
까치바,BAR
피플,PEOPLE
매콧테이블,Macot's Table
데님오브벌츄코리아 청담,Denim of Virtue Korea cheongdam
버스컵,busk.up
무아,MUA
마노사포레,MANO SAPORE
카페 라끌레,Cafe La Cle
텐트,TENT
에슬로우 논현역탑,TOP
머피의법칙,Murphy's Law
스테이크부쓰,Steak Booth
케이,K
케이버거,K buger
머피의법칙,Murphy's Law
카페라비다,cafe la vida
파운드앤파이,Pound and Pie
지큐,G.Q
엠엠티에이치091,MMTH091
캐쥬얼커피,CASUAL COFFEE
이모살롱,EMO SALON
씬1995,Xin1995
카페 헤이데어,travel cafe [Hey there]
엔타로커피컴퍼니,ENTARO COFFEE COMPANY
찡찡,Zzingzzing
쏘울무쵸,Soul mucho
제이스쿡샵,J's cookshop
060버거앤비어,060 Burger & Beer
비스트로,Bistro
블랙베어,Black bear
노팅힐,Notting Hill
리본,REBORN
돕보이,DOPE BOY
클랩카페,clap
미아논나,mia nonna
제네시스,GENESIS
미스트랄,mistral
제니피자,ZENNY PIZZA
곱,Gob
대디,Daddy Seoul
제이스,J's
모완10',mowan10'
디퍼,Deeper
103비어,beer
마디쪼,MADIZZO
테이스트테이스트테이스트,taste taste taste
일에프비스트로 앤펍,IF Bistro & PuB
키친에포닌,Kitchen EPONINE
몽쉘파파,MON CHER PAPA
리틀LA,little LA
이오삼일일,25311
샷업,Shot Up
에이투,A-TWO
커핑,cupping
술퍼맨,Sulperman
르브레쏭,LeBRESSON
디어니스트드링커,The Honest Drinker
밤스버거,Bombs Burger
뿌카페,Puccafe
패션영토,P&P
토브,TOV
잘,ZAL
뉴문,NEW MOON
클라,Klar
에스,S
디쉬,Dish
밀리,MILLEE
반안스,VANAN'S
비에프랩,BFLAB
89맨션,89 Mansion
비비큐,BBQ
제이에스가든 웍,wok
쓰리고,3高
네이키드,NAKED
세뇨리타 타코,SENORITA TACO
팔,8
카페더크레마,Cafe The Crema
머천트,MERCHANT
힐로커피,Hilo Coffee
마스터쉬림프,Master shrimp
"스몰,굿띵","Small,Good Thing"
조사모,JOSAMO
자연화가,food culture gallery
아미고,AMEGO
와이 일사오,Y145
쿠,KU
써드스토리,3rd story
비어에잇,Beer8
까페루타,Cafe Ruta
온어락,ON A LARK
애프터다크,After Dark
앙코르커피,Encore coffee
스카이,SKY
줄라이,JULY
알렉시스,Alexis
사과마녀,AppleWitch
툴,TOOL
오!카페,OH!CAFE
홀릭,holic
투샷,Two Shot
라붐,LABOOM by Listo and NOLABOR
지세븐,G7
카리갤러리카페,KARI Gallery Cafe
문인더랩,Moon in the Lab
베지프루,VEGEFRU
달콤한 꽃,sweet bloom
수커피,soo coffee
맥쓰,MEXX
포냐향,Pho Nhahang
위177-7,oui177-7
빅슬로우,Big Slow
더컵,The Cup
헬로스프링,Hello Spring
스피카,SPICA
본식,Born Sick
홀릭아시아,Holic Asia
베스트,BEST
스텝,STEP
더글라스제이,Douglass.J
우타코,WOO TACO
하와이앤디스카후쿠쉬림,HAWaii ANDY'S Kahuku SHRiMP
더엔젤스셰어,The Angels Share
기브미피버,Give me fever
존,JOHN
미스터슬라이스,Mr.Slice
미씨엘로,MICIELO
스타라이트,Stalight
머핀,MUFFIN
쿠스퀘어,KOO SQUARE
마이파티,My Party
엠버시파이브,embassy5
삼십일비,31B
홍익셰푸드,HONGIK CHEFOOD
에프씨,FC
프라이데이나인 ,fryday 9
차이나스토리 ,Js food system
워드,word
쿠잉,Cooing
트레아미,Tres Ami
겟앤쇼,Get & Show
파파벨리,PAPAVALLEY PlzzA
마미쿡,MOMMY COOK
꽃길,Kkot-gil
반듯,bandeut
까르따 29,Carta 29
칠에프,7F
에딘,Edin
쉘터,Shelter
케세라세라,Que sera sera
헤이,HEY
더심,THE 心
다도니,Da Dony
라라키친,LaLa kitchen
아파트201,Apt201
칠이사이공,72420
오비,OB
비에치씨,BHC
론리하츠,Lonely Hearts
게이트41,Gate 41
어나더커피,another coffee
켄코키친 x 커피알,kenko kitchen X coffeeR
카페 더 케냐,cafe de kenya
얼리버드,Early Bird cafe
아이푸드서비스,MBC신사옥점
서울미닛,Seoul Minute
허니밥스,Honey bob's
홈그라운드,HOME GROUNDS
허그인,Hugin
퍼스트단골,1st. DANGOL
루즈,loose
주,JU
타코랩,TACOLAB
매그넘,MAGNUM
로스터스,Roasters
맘,mam
언더,under
국자네,Ladle
"두,더즈","Do,Does"
플레이트B,PLATE B
온클라우드나인,on cloud nine
스위트비비안,Sweet Vivian
비뮤직랩,B Music LAB
까페 오즈,Cafe OZ
미세스 우돈컵,Mrs. UDONCUP
씨멘트,C.MENT
해브어코믹스데이,HAVE A COMICS DAY
라셀엔로마이야기,R&R
웨이론,waylon
누사,Nusa
더파스텔라,The pastela
이구공공,2900
뚜아에모아,Toi et moi
하우스오브레드락,House of RedRock
니즈,NEEDS
디테라스&브알라,D.TERRACE&VOILA
도키도키,DokiDoki
포레스트,for:rest
씽코 데 마요,cinco de mayo
스토리 비,STORY B
가보,GABO
커피브릭스,coffee bricks
크림,CREAM
언더독,UNDERDOG
피닉스,Phoenix
바세린,Barseline
알렉스,Alex
사이공베트남,SAIGON-VIETNAM
마딛따,Tasty food
살림,Sallim
케이미스타,Kmista
빅테이블,BICTABLE
젠틀빈스,Gentel beans
샘스베이글,SAM'S BAGEL
그릴백,Grill Bag
어드벤쳐스토리,AdventureStory
더브릭,THE BRICK
와이,WHY
투엘슨컴퍼니,2lson Company
일포 베트남쌀국수,il pho
커피인,coffee in
이너프,enough
도노커피공덕점,Dono coffee
다크플레이스,Dark Place
레이첼키친,Rachel's Kitchen
울루물루핫도그,Woolloo mooloo Hotdog
봉주르키친앤카페,Bonjour Kitchen&Cafe
안,Anh
프리덤 펍,FREEDOM PUB
카라반,Caravan
까르따19,Carta19
디스이저펍,This is a pub
리포카,Ripoka
비원,B1
에스씨웨딩,SC웨딩
케이엠씨,KMC
퓨즈,fuse
일칠오도씨,175C˚
아이오유,I.O.U
볼드커피,BOLD COFFEE
빈티지라이언,VINTAGE LION
더엠,The M
몽키포레스트,Monkey Forest
카페23서울,Cafe23Seoul
봉봉,Bon Bon
투리스바벨커피,turris babel coffee
불록스,Bullox
모던이스트,Modern.east
훌리오,BAR
티엔에스,T&S
아씨씨,Assisi
커피마마,coffee mama
매드만조,madmanzo
매드,MAD
삐프티칩스,Fifty chips
오드비,Eau-de-vie
선데이펍,sunday pub
쓰리고,3GO
디에쓰,Diez
투셰프,2CHEF
비스트로알이,Bistro RE
벨라트릭스37,Bellatrix37
달,DAL
크런치,Krunch
퍼트니,PUTNEY
잇미,Eat me
나이쏘이,NAISOI
위,We
피에프엠쿡,P.FM COOK
포르티카,portica
본보야지,Bon Voyage
더치&브런치,DUTCH&BRUNCH
베터커피,BETTER COFFEE
가디스,goddess
딥,DIP
어반스테이,URBAN STAY
킹콩조아커피,zoa coffee
픽쳐스메모리,Pictures memory
더블유스타,W STAR
에스챔버,Schamber
커피릴레이,COFFEE Relay
에스씨웨딩,SC웨딩
에르모사,HERMOSA
에쉬본,Eschborn
더큐어,THE CURE
닥,Dak)
어퍼덱730,UPPER DECK730
코와코이로이로,cowacoiroiro
아르님,ARNIM
올라리사,Hola Lisa
스폐셜원,Special One
폴앤폴리나,Paul & Paulina
원더밀크,WONDER MILK
헬로우어게인,HELLO AGAIN
티.피.비,T.P.B
오든하우스,oden house
러스틱,RUSTIC
푸울플레이트,fu:l plate
라이브와이어,LIVE WIRE
브라더케밥,BROTHER KEBAB
메이드바이오즈,made by o:z
까페플라넷,CafePlanet
행오버,hang over
더제니,The Jenny
카페 드 벨라,Cafe de Bella
리틀앨리켓,Little ALLEY KAT
쏘,SO
불스,Bull's
사일일-오,411-5
더커피반,The Coffee Ban
제너럴탭스코,General Taps Co.
디차이나,D.china
스탠다드러브댄스,STANDARD LOVE DANCE
더,The 
피엘,PL
커피,coffee
온 더 페리오,on the patio
더 투 룸스,THE TWO ROOMS
파운드,found
깔레H,calle H
파리스블루,PARISBLEU
키친테라스,kitchen terras
플라넷프라자,Planet Plaza
애비뉴아,Avenuea
우주,Would you
와사비 비스트로,wasabi bistro
퍼센테이지커피,PERCENTAGECOFFEE
원데이즈컵,one day's cup
더,the
십삼,13
일공오이,1052
형제집,Brother House
삼성물산(주)용강동,A
바다피자,BADAPIZZA
파티 포 앨리스,Party for Alice
벵가,Venga
츠바이슈타인,Zweistein
행오버,HANGOVER
샌드프레스,Sandpress
펍큐,PUBQ
스틸,STEEL
육일이이사,61224
에스.이,S.E
포앤원,Pho and 1
쉘터GAT,Shelter GAT
텐독,10 DOG
비플러스포차,b+포차
파피용,PaPillon
더,The
메카,MECA
쉐프 투르낭,Chef tournant
투아워스,2 hours
,
카페126,cafe126
동공,19금
펀,Fun
분빗,BUNVIET
아프로,afro
세인트콕스,ST.COQS
티차이차,TEACHAICHA
그랑제,Granze
소풍,sopoong
이점칠그램,2.7gram
씨지브이상암10 씨네카페,THE CINE CAFE
수창분식,1
반헤스커피,Vanhes Coffee
합,HAP
소재,FSOZAE
연하우스,Yeon house
엘로이,ELROY
오네이씨,On est ici
부스터포차,Booster
보보스,BoBos
브랜누투,Branu2
럭스,LUX
포쓰리,Pho3
크라제다이너,KRAZE DINER
오공일,501
카페부부,CAFE BUBU
모스펍,Mo's pub
시듀스,Seduce
밀로스,Milos
파머스디쉬,farmer's dish
터미너스,Terminus
하비스버건디,Harvey's Burgundy
비스마일,BeSmile
브이원,V1
팡 그리나,Pao Grina
보보,BoBo
티라레돌체,Tirare Dolce
더,The
벤트2,Vent2
세컨드 라운드,Second round
더로즈,TheRose
모완'10카페,Mowan10' cafe
차이나는만두,CHINA는만두
슈가풀,Sugarful
코비티시,KORBTC
망원동파스타,Che bazza
엘로꼬티엔다,EL LOCO TIENDA
맘마미아,Mammamia
지노스,Gino's
홍대 스테이크,steak
탐파,Tampa
할리비어,Holly beer
카페인바,Caffeine Bar
씨27,C27
썰스데이파티,Thursday Party
에이포아시안키친,A4 Asian Kitchen
썬,SUN
엠엠티에이치065,mmth065
세븐크래프트,7EVEN CRAFT
알레스카페,alles cafe
카페이스,caFACE
피자리아701,PIZZERIA701
빅망치,Bigmangchi
이자카야겐지,IZAKAYA GENJI
샘 카페,SAM CAFE
간츠,ganz
포스마일,ForSmile
노리터,NORITER
루시,LUCY
일에이비,1AB
벌스,VER'S
일레븐나인,11NINE
그릴로,GRILLO
파티오42홍대점,patio42홍대점
72420칠리사이공,chili saigon
프렌드락,friend rock
바케이드,Barcade
핑크문,PINK MOON
에스엠에이치푸드,SMH푸드
꺄끼,KaKi
도도,DODO
비피카페앤펍,BP cafe&pub
서울라이츠,SEOULITES
심플릿,SIMPLEAT
퍼기 포레스트,foggy forest
디비노,DIVINO
스위트 드림,Sweet Dream
시,si
루시 엘,LUCY L
디펙트빈,Defect Bean
라방드데시네,La Bande Dessinee
은정관,3호점
더럭키이스트,THE LUCKIEST
아이엘유,ILYOU
김만수키친,KIMMANSU Kitchen
르퓨어,Lepure
포토엔카페,photo N cafe
리히트로벤,Licht Loben
이,2
엔에이치엔위투(주),13-4
세븐,7
비에치시,bhc
시내,Si Nar
오오오,555
에이치,H
보원,VOWON
멘,MEN
슈안,SHUAN
욜로,YOLO
비.티.비,B.T.B
줄라,JULA
스프맨,SOUPMAN
파이브브루잉,Five Brewing
두셰프,DO CHEF
디스커버리테이스트,DISCOVERY TASTE
브라더엔드시스터,Brother&Sister
모도라운지,MOOD LOUNGE
실라칸스,coelacanth
쿠파,CUPPA
노글루,NOGLU
컴포트 로스터스,Comfort Roasters
고야,GOYA
굿돈,good doon
썸,some
알앤비,R-&-B
페퍼밀,peppermill
해피하우스 ,happy house
바덩텅,Bar d'anran
넘버포,NUMBER FOUR
엑시트4,EXIT4
오엠씨,OMC
드래곤만두,DragonMandoo
플랭크앤길트,Plank & Gilt
빅토리가든,VICTORY GARDEN
오후앤비어,ohoo&Beer
미스터라바,Mr.라바
카페스토리,story
세부,cebu
요츠바,Yotsba
오위,WOWY
인,IN
바모스,Vamos
설탕,Sultang
제이에스엘,JSL
타이엘리펀트,Thai elephant
하코,HAKO
봉고,Bongo
라이스스토리,Rice Story
카페,cafe
마이버스데이 720 ,my birthday 720
넘버포투에프,NUMBER FOUR 2F
스테이플392,Staple 392
치치포포,chichipopo
쥬스또,Guisto
박군커피,The Park's coffee
비 호스피탈리티 서울,B HOSPITALITY SEOUL
에스쿨루시보,ESCLUSIVO
몬스터브레드X씨나인,MONSTER BREAD X C9
"르빵,더테이블","LE PAIN, THE TABLE"
나카메구로히쯔지,NAKAMEGURO HITSUJI
키친동상이몽,KITCHEN동상이몽
제이피커피로스터스,JP COFFEE ROASTERS
위드램,WEEDRAM
수퍼문,Supermoon
하와이,Hawaii
쉐킷쉐킷,Shake It Shake It
공,CON
올드하바나펍,Old Habana pub
애플 테라스,Apple Terrace
하루,HARU
플라츠21,Platz21
게러지프로젝트,garage project
러스티카,RUSTICA
카레와,KAREWA
소울브레드,Soul Bread
카사블랑코,CASA BLANCO
퀸즈콕,Queen's KoK
미토테로,MITOTERO
그라운드에이치,Ground H
마지,MAZI
아꼬메르,a comer
사이드쇼,Sideshow
테이크 5,Take 5
동차밥,"feat, 햇님"
카페룸1024,Cafe room1024
카카두,kakadu
리프레쉬5.7,REFRESH5.7
라헨느,La Reine
루벤스,Ruben`s
